physical_id,case,Re,Lx,Lz,shear,L2,is_trivial,source,groups,n_groups,representative_ubest
re400_lx10_lz6_005,re400_lx10_lz6,400.0,10.0,6.0,0.173827,0.0845575,false,overnight,"D",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/D/jkl_1_4_5/dns_findsoln/sol005/ubest.nc
re400_lx10_lz6_009,re400_lx10_lz6,400.0,10.0,6.0,0.276007,0.105251,false,low_shear,"D",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/D/jkl_2_4_8/dns_findsoln/sol002/ubest.nc
re400_lx10_lz6_016,re400_lx10_lz6,400.0,10.0,6.0,0.697371,0.200136,false,both,"D",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/D/jkl_1_3_5/dns_findsoln/sol004/ubest.nc
re400_lx10_lz6_013,re400_lx10_lz6,400.0,10.0,6.0,0.507104,0.320622,false,both,"E,G",2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_2_4_8/dns_findsoln/sol003/ubest.nc
re400_lx10_lz6_021,re400_lx10_lz6,400.0,10.0,6.0,1.01334,0.244266,false,low_shear,"E",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/E/jkl_2_4_8/dns_findsoln/sol006/ubest.nc
re400_lx10_lz6_022,re400_lx10_lz6,400.0,10.0,6.0,1.02892,0.25144,false,low_shear,"E",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/E/jkl_2_4_7/dns_findsoln/sol007/ubest.nc
re400_lx10_lz6_023,re400_lx10_lz6,400.0,10.0,6.0,1.1023,0.407408,false,overnight,"E",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_3_4_9/dns_findsoln/sol001/ubest.nc
re400_lx10_lz6_025,re400_lx10_lz6,400.0,10.0,6.0,1.17228,0.233655,false,overnight,"E",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/E/jkl_2_4_6/dns_findsoln/sol010/ubest.nc
re400_lx10_lz6_028,re400_lx10_lz6,400.0,10.0,6.0,1.33369,0.275127,false,low_shear,"E",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/E/jkl_1_3_5/dns_findsoln/sol009/ubest.nc
re400_lx10_lz6_030,re400_lx10_lz6,400.0,10.0,6.0,1.36828,0.279099,false,low_shear,"E",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/E/jkl_2_4_9/dns_findsoln/sol001/ubest.nc
re400_lx10_lz6_027,re400_lx10_lz6,400.0,10.0,6.0,1.30284,0.251724,false,overnight,"F",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/F/jkl_2_4_8/dns_findsoln/sol001/ubest.nc
re400_lx10_lz6_002,re400_lx10_lz6,400.0,10.0,6.0,0.111429,0.0674867,false,both,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_2_4_5/dns_findsoln/sol002/ubest.nc
re400_lx10_lz6_004,re400_lx10_lz6,400.0,10.0,6.0,0.151885,0.0843729,false,both,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_2_4_5/dns_findsoln/sol003/ubest.nc
re400_lx10_lz6_007,re400_lx10_lz6,400.0,10.0,6.0,0.219208,0.0956772,false,overnight,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_1_4_5/dns_findsoln/sol005/ubest.nc
re400_lx10_lz6_015,re400_lx10_lz6,400.0,10.0,6.0,0.638896,0.164839,false,low_shear,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/G/jkl_2_4_5/dns_findsoln/sol010/ubest.nc
re400_lx10_lz6_017,re400_lx10_lz6,400.0,10.0,6.0,0.814528,0.280465,false,low_shear,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/G/jkl_2_4_5/dns_findsoln/sol009/ubest.nc
re400_lx10_lz6_019,re400_lx10_lz6,400.0,10.0,6.0,0.895123,0.219999,false,overnight,"G",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/G/jkl_1_4_5/dns_findsoln/sol004/ubest.nc
re400_lx2pi_lzpi_001,re400_lx2pi_lzpi,400.0,6.283185307179586,3.141592653589793,8.26677e-13,4.53974e-13,true,both,"A,B,C,G",4,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx2pi_lzpi/A/jkl_2_4_6/dns_findsoln/sol001/ubest.nc
re400_lx2pi_lzpi_002,re400_lx2pi_lzpi,400.0,6.283185307179586,3.141592653589793,0.192372,0.0859584,false,both,"A,B,C,D,F,G",6,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx2pi_lzpi/C/jkl_3_5_9/dns_findsoln/sol001/ubest.nc
re400_lx2pi_lzpi_004,re400_lx2pi_lzpi,400.0,6.283185307179586,3.141592653589793,0.76576,0.198195,false,both,"B",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx2pi_lzpi/B/jkl_1_3_5/dns_findsoln/sol003/ubest.nc
re400_lx2pi_lzpi_009,re400_lx2pi_lzpi,400.0,6.283185307179586,3.141592653589793,4.39284,0.43619,false,overnight,"C,F",2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx2pi_lzpi/C/jkl_1_3_5/dns_findsoln/sol005/ubest.nc
re400_lx2pi_lzpi_007,re400_lx2pi_lzpi,400.0,6.283185307179586,3.141592653589793,1.23126,0.239933,false,overnight,"D",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx2pi_lzpi/D/jkl_1_3_5/dns_findsoln/sol003/ubest.nc
re400_lx2pi_lzpi_008,re400_lx2pi_lzpi,400.0,6.283185307179586,3.141592653589793,2.96315,0.379829,false,low_shear,"D",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx2pi_lzpi/D/jkl_2_4_5/dns_findsoln/sol002/ubest.nc
re400_lx2pi_lzpi_003,re400_lx2pi_lzpi,400.0,6.283185307179586,3.141592653589793,0.413657,0.231055,false,both,"E",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx2pi_lzpi/E/jkl_3_5_9/dns_findsoln/sol001/ubest.nc
re400_lx2pi_lzpi_005,re400_lx2pi_lzpi,400.0,6.283185307179586,3.141592653589793,0.874244,0.196106,false,low_shear,"E",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx2pi_lzpi/E/jkl_2_4_5/dns_findsoln/sol002/ubest.nc
re400_lx2pi_lzpi_006,re400_lx2pi_lzpi,400.0,6.283185307179586,3.141592653589793,0.965829,0.205098,false,overnight,"E",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx2pi_lzpi/E/jkl_2_4_6/dns_findsoln/sol002/ubest.nc
