Lx,Lz,alpha,gamma,id,residual
6.666666666666667,4.0,0.9424777960769379,1.5707963267948966,3,NaN
6.666666666666667,4.333333333333333,0.9424777960769379,1.4499658401183662,3,NaN
6.666666666666667,4.666666666666667,0.9424777960769379,1.3463968515384828,3,NaN
6.666666666666667,5.0,0.9424777960769379,1.2566370614359172,3,NaN
6.666666666666667,5.333333333333333,0.9424777960769379,1.1780972450961724,3,NaN
6.666666666666667,5.666666666666667,0.9424777960769379,1.1087974071493387,3,NaN
6.666666666666667,6.0,0.9424777960769379,1.0471975511965976,3,NaN
6.666666666666667,6.333333333333333,0.9424777960769379,0.9920818906073031,3,NaN
6.666666666666667,6.666666666666667,0.9424777960769379,0.9424777960769379,3,NaN
6.666666666666667,7.0,0.9424777960769379,0.8975979010256552,3,NaN
6.666666666666667,7.333333333333333,0.9424777960769379,0.85679799643358,3,NaN
6.666666666666667,7.666666666666667,0.9424777960769379,0.8195459096321199,3,NaN
6.666666666666667,8.0,0.9424777960769379,0.7853981633974483,3,NaN
6.666666666666667,8.333333333333334,0.9424777960769379,0.7539822368615503,3,NaN
6.666666666666667,8.666666666666666,0.9424777960769379,0.7249829200591831,3,NaN
6.666666666666667,9.0,0.9424777960769379,0.6981317007977318,3,NaN
6.666666666666667,9.333333333333334,0.9424777960769379,0.6731984257692414,3,NaN
6.666666666666667,9.666666666666666,0.9424777960769379,0.6499846869496124,3,NaN
7.083333333333333,3.0,0.887037925719471,2.0943951023931953,3,NaN
7.083333333333333,3.3333333333333335,0.887037925719471,1.8849555921538759,3,NaN
7.083333333333333,3.6666666666666665,0.887037925719471,1.71359599286716,3,NaN
7.083333333333333,4.0,0.887037925719471,1.5707963267948966,3,NaN
7.083333333333333,4.333333333333333,0.887037925719471,1.4499658401183662,3,NaN
7.083333333333333,4.666666666666667,0.887037925719471,1.3463968515384828,3,NaN
7.083333333333333,5.0,0.887037925719471,1.2566370614359172,3,NaN
7.083333333333333,5.333333333333333,0.887037925719471,1.1780972450961724,3,NaN
7.083333333333333,5.666666666666667,0.887037925719471,1.1087974071493387,3,NaN
7.083333333333333,6.0,0.887037925719471,1.0471975511965976,3,NaN
7.083333333333333,6.333333333333333,0.887037925719471,0.9920818906073031,3,NaN
7.083333333333333,6.666666666666667,0.887037925719471,0.9424777960769379,3,NaN
7.083333333333333,7.0,0.887037925719471,0.8975979010256552,3,NaN
7.083333333333333,7.333333333333333,0.887037925719471,0.85679799643358,3,NaN
7.083333333333333,7.666666666666667,0.887037925719471,0.8195459096321199,3,NaN
7.083333333333333,8.0,0.887037925719471,0.7853981633974483,3,NaN
7.083333333333333,8.333333333333334,0.887037925719471,0.7539822368615503,3,NaN
7.083333333333333,8.666666666666666,0.887037925719471,0.7249829200591831,3,NaN
7.083333333333333,9.0,0.887037925719471,0.6981317007977318,3,NaN
7.083333333333333,9.333333333333334,0.887037925719471,0.6731984257692414,3,NaN
7.083333333333333,9.666666666666666,0.887037925719471,0.6499846869496124,3,NaN
7.083333333333333,10.0,0.887037925719471,0.6283185307179586,3,NaN
7.5,3.3333333333333335,0.8377580409572781,1.8849555921538759,3,NaN
7.5,3.6666666666666665,0.8377580409572781,1.71359599286716,3,NaN
7.5,4.0,0.8377580409572781,1.5707963267948966,3,NaN
7.5,4.333333333333333,0.8377580409572781,1.4499658401183662,3,NaN
7.5,4.666666666666667,0.8377580409572781,1.3463968515384828,3,NaN
7.5,5.0,0.8377580409572781,1.2566370614359172,3,NaN
7.5,5.333333333333333,0.8377580409572781,1.1780972450961724,3,NaN
7.5,5.666666666666667,0.8377580409572781,1.1087974071493387,3,NaN
7.5,6.0,0.8377580409572781,1.0471975511965976,3,NaN
7.5,6.333333333333333,0.8377580409572781,0.9920818906073031,3,NaN
7.5,6.666666666666667,0.8377580409572781,0.9424777960769379,3,NaN
7.5,7.0,0.8377580409572781,0.8975979010256552,3,NaN
7.5,7.333333333333333,0.8377580409572781,0.85679799643358,3,NaN
7.5,7.666666666666667,0.8377580409572781,0.8195459096321199,3,NaN
7.5,8.0,0.8377580409572781,0.7853981633974483,3,NaN
7.5,8.333333333333334,0.8377580409572781,0.7539822368615503,3,NaN
7.5,8.666666666666666,0.8377580409572781,0.7249829200591831,3,NaN
