Lx,Lz,alpha,gamma,min_Re,count
11.3158,4.1053,0.55525772,1.53050576,150.53989789,3
12.8947,4.1053,0.48726882,1.53050576,165.52605974,1
6.5789,6.6316,0.95505104,0.94746144,219.35242310,1
5.5263,7.0526,1.13696059,0.89090340,271.62975117,3
6.5789,4.9474,0.95505104,1.26999743,121.21330779,4
8.1579,7.8947,0.77019641,0.79587385,124.22661987,6
9.7368,6.2105,0.64530290,1.01170362,103.13348048,3
7.1053,4.5263,0.88429557,1.38815043,112.14564865,5
7.6316,6.2105,0.82331167,1.01170362,106.38726282,5
11.3158,4.5263,0.55525772,1.38815043,135.58612221,3
15.0000,3.6842,0.41887902,1.70544088,216.32915330,3
11.8421,9.5789,0.53058033,0.65594017,113.55888140,4
12.8947,4.5263,0.48726882,1.38815043,148.44696191,3
13.9474,7.8947,0.45049151,0.79587385,111.30742555,7
5.0000,5.7895,1.25663706,1.08527253,207.15688496,2
9.2105,6.2105,0.68217635,1.01170362,102.11740727,3
8.1579,8.7368,0.77019641,0.71916323,140.50348037,7
5.0000,7.4737,1.25663706,0.84070612,219.62773881,1
7.1053,10.0000,0.88429557,0.62831853,238.16677097,4
11.3158,10.0000,0.55525772,0.62831853,122.66032979,4
5.0000,2.8421,1.25663706,2.21075448,173.14424426,2
12.8947,10.0000,0.48726882,0.62831853,114.40167926,5
13.9474,8.7368,0.45049151,0.71916323,109.26829273,8
6.0526,8.3158,1.03809690,0.75557196,292.30228361,1
6.0526,9.1579,1.03809690,0.68609455,247.17808822,1
12.3684,8.3158,0.50800308,0.75557196,106.81762907,7
12.3684,9.1579,0.50800308,0.68609455,109.52391033,7
15.0000,3.2632,0.41887902,1.92546743,263.23702357,2
8.6842,6.6316,0.72351919,0.94746144,102.65987002,3
10.2632,4.1053,0.61220529,1.53050576,141.17741140,3
6.5789,3.6842,0.95505104,1.70544088,131.42841774,3
8.6842,4.9474,0.72351919,1.26999743,110.23636373,3
12.3684,7.8947,0.50800308,0.79587385,106.63012240,6
14.4737,6.6316,0.43411051,0.94746144,121.55153345,4
5.0000,5.3684,1.25663706,1.17040185,187.71406537,3
14.4737,4.9474,0.43411051,1.26999743,148.64780354,3
5.0000,2.4211,1.25663706,2.59517794,220.71289285,2
10.2632,4.5263,0.61220529,1.38815043,127.67696891,4
8.1579,5.7895,0.77019641,1.08527253,102.75866925,3
12.3684,8.7368,0.50800308,0.71916323,107.77035782,6
13.9474,5.7895,0.45049151,1.08527253,128.14045544,3
8.1579,7.4737,0.77019641,0.84070612,118.86572607,5
10.2632,10.0000,0.61220529,0.62831853,132.56458875,8
8.1579,2.8421,0.77019641,2.21075448,210.58397912,2
6.5789,3.2632,0.95505104,1.92546743,151.74066325,1
13.9474,7.4737,0.45049151,0.84070612,113.37058618,2
9.7368,7.0526,0.64530290,0.89090340,102.24686491,3
7.6316,7.0526,0.82331167,0.89090340,120.05883880,3
7.1053,6.2105,0.88429557,1.01170362,114.43291338,2
10.7895,6.6316,0.58234258,0.94746144,104.52234815,4
11.3158,6.2105,0.55525772,1.01170362,108.91093438,3
8.6842,3.6842,0.72351919,1.70544088,145.98096057,4
