timestamp,case,group,J,K,L,sol_id,status,error,job_dir
2026-03-08T17:36:42,re300_lx10_lz6,E,2,4,6,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_6/dns_findsoln/sol001
2026-03-08T17:36:42,re300_lx10_lz6,E,2,4,5,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_5/dns_findsoln/sol001
2026-03-08T17:36:42,re300_lx10_lz6,E,1,4,5,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_4_5/dns_findsoln/sol001
2026-03-08T17:36:42,re300_lx10_lz6,E,1,3,5,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_3_5/dns_findsoln/sol001
2026-03-08T17:37:34,re300_lx10_lz6,D,1,3,5,4,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_1_3_5/dns_findsoln/sol004
2026-03-08T17:45:46,re300_lx10_lz6,E,2,4,9,2,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_9/dns_findsoln/sol002
2026-03-08T17:45:46,re300_lx10_lz6,E,2,4,8,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_8/dns_findsoln/sol002
2026-03-08T17:45:46,re300_lx10_lz6,E,2,4,7,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_7/dns_findsoln/sol002
2026-03-08T17:45:46,re300_lx10_lz6,E,2,4,6,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_6/dns_findsoln/sol002
2026-03-08T17:45:46,re300_lx10_lz6,E,2,4,5,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_5/dns_findsoln/sol002
2026-03-08T17:45:46,re300_lx10_lz6,E,1,4,5,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_4_5/dns_findsoln/sol002
2026-03-08T17:45:46,re300_lx10_lz6,E,1,3,5,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_3_5/dns_findsoln/sol002
2026-03-08T17:51:25,re300_lx10_lz6,C,2,4,5,5,not_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_5/dns_findsoln/sol005
2026-03-08T17:52:43,re300_lx10_lz6,C,2,4,7,3,not_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_7/dns_findsoln/sol003
2026-03-08T18:00:39,re300_lx10_lz6,C,1,4,5,5,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_4_5/dns_findsoln/sol005
2026-03-08T18:00:39,re300_lx10_lz6,C,1,3,5,5,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_3_5/dns_findsoln/sol005
2026-03-08T18:02:58,re300_lx10_lz6,E,2,4,9,3,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_9/dns_findsoln/sol003
2026-03-08T18:02:58,re300_lx10_lz6,E,2,4,8,3,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_8/dns_findsoln/sol003
2026-03-08T18:02:58,re300_lx10_lz6,E,2,4,7,3,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_7/dns_findsoln/sol003
2026-03-08T18:02:58,re300_lx10_lz6,E,2,4,6,3,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_6/dns_findsoln/sol003
2026-03-08T18:02:58,re300_lx10_lz6,E,2,4,5,3,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_5/dns_findsoln/sol003
2026-03-08T18:02:58,re300_lx10_lz6,E,1,4,5,3,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_4_5/dns_findsoln/sol003
2026-03-08T18:02:58,re300_lx10_lz6,E,1,3,5,3,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_3_5/dns_findsoln/sol003
2026-03-08T18:06:57,re300_lx10_lz6,B,2,4,7,3,not_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_7/dns_findsoln/sol003
2026-03-08T18:27:25,re300_lx10_lz6,C,2,4,6,3,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_6/dns_findsoln/sol003
